"What is your present religion, if any?",,Do you attend religious services,"How often do you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How often do you: Pray in public using some kind of physical object (rosary, tefillin, etc)",How often do you: Pray aloud before meals in the presence of people who don't belong to your religion,How often do you: Tell someone you'll pray for him or her,How often do you: Ask or offer to pray with someone,"How often do you: Bring up your religion, unprompted, in conversation","How often do you: Ask others about their religion, unprompted, in conversation","How often do you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How often do you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How often do you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)",What is your age?,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
None of these,Christian,Less than weekly,Every day,Never,Every day,A few times per week,A few times per week,Every day,A few times per week,Never,A few times per week,Never,45 - 59,Female,"$25,000 to $49,999",West South Central
None of these,Christian,Less than weekly,Once a year or less,Never,Once a month or less,Once a month or less,A few times per month,Once a month or less,Once a month or less,Never,Never,Never,18 - 29,Female,"$10,000 to $24,999",West North Central
Orthodox Christian,,Less than weekly,Never,Never,Every day,A few times per month,A few times per month,Never,A few times per week,A few times per month,A few times per month,Once a year or less,45 - 59,Male,"$10,000 to $24,999",East South Central
None of these,Christian,Weekly or more,Every day,Every day,Every day,A few times per month,Every day,A few times per week,A few times per week,Once a month or less,Never,Once a month or less,30 - 44,Male,"$0 to $9,999",West South Central
Atheist,,,,,,,,,,,,,60+,Male,Prefer not to answer,West North Central
Agnostic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Not applicable to my religious beliefs,Never,Never,Never,Never,Never,45 - 59,Male,"$200,000 and up",Pacific
Roman Catholic,,Less than weekly,A few times per week,A few times per week,Once a month or less,Every day,Never,Never,Never,Never,Every day,Never,60+,Female,"$25,000 to $49,999",Middle Atlantic
Protestant,,Weekly or more,Never,Never,Once a month or less,Once a month or less,Never,Once a month or less,Once a year or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,60+,Female,"$75,000 to $99,999",West North Central
Roman Catholic,,Less than weekly,Never,Never,A few times per month,A few times per week,Never,Never,Never,Never,Never,Never,45 - 59,Female,"$0 to $9,999",East North Central
Jewish,,Less than weekly,Never,Once a month or less,Once a year or less,Once a month or less,Never,Once a month or less,Never,Once a month or less,A few times per month,Once a year or less,60+,Male,"$125,000 to $149,999",South Atlantic
Atheist,,,,,,,,,,,,,45 - 59,Male,"$75,000 to $99,999",Middle Atlantic
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45 - 59,Female,"$75,000 to $99,999",Middle Atlantic
Mormon,,Weekly or more,Never,Never,Once a year or less,Once a year or less,Never,Once a month or less,Once a year or less,A few times per month,Not applicable to my religious beliefs,Not applicable to my religious beliefs,60+,Female,"$50,000 to $74,999",Mountain
None of these,Baptist,Less than weekly,A few times per month,Once a year or less,Every day,Every day,Every day,Every day,Every day,Never,Never,A few times per month,45 - 59,Female,"$0 to $9,999",South Atlantic
None of these,don't belong to any religion,Never,Never,Never,Never,Once a month or less,Never,Never,Never,Never,Never,Never,45 - 59,Male,Prefer not to answer,East North Central
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,18 - 29,Female,"$10,000 to $24,999",South Atlantic
None of these,.,Never,A few times per week,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,30 - 44,Male,"$0 to $9,999",Pacific
Roman Catholic,,Never,A few times per month,Never,Every day,A few times per week,Never,A few times per month,Once a month or less,Never,Never,Never,30 - 44,Male,"$0 to $9,999",East North Central
Agnostic,,Never,Once a year or less,Never,Never,Never,Never,Once a month or less,Once a year or less,Never,Never,Never,60+,Male,"$175,000 to $199,999",South Atlantic
Protestant,,Weekly or more,A few times per week,Never,A few times per month,A few times per month,A few times per month,A few times per month,Once a month or less,Once a year or less,Never,Once a year or less,18 - 29,Female,"$50,000 to $74,999",West South Central
Orthodox Christian,,Weekly or more,Every day,Not applicable to my religious beliefs,Every day,Every day,Every day,Never,Never,Never,Not applicable to my religious beliefs,Never,30 - 44,Male,"$10,000 to $24,999",East South Central
Agnostic,,Less than weekly,Once a year or less,Once a year or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a year or less,Once a year or less,Never,Never,Never,60+,Female,"$150,000 to $174,999",New England
Roman Catholic,,Never,Every day,Every day,Every day,A few times per week,A few times per month,A few times per month,Once a year or less,Never,Never,Once a year or less,30 - 44,Male,"$10,000 to $24,999",Mountain
Roman Catholic,,Never,Every day,Never,Never,Every day,Every day,Never,Every day,Never,Never,Never,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
Atheist,,,,,,,,,,,,,60+,Male,"$175,000 to $199,999",Middle Atlantic
Atheist,,,,,,,,,,,,,60+,Male,"$50,000 to $74,999",Middle Atlantic
Roman Catholic,,Weekly or more,A few times per month,Once a year or less,Never,A few times per month,A few times per month,Once a month or less,Never,Never,Never,Never,45 - 59,Female,"$200,000 and up",New England
Agnostic,,Less than weekly,Never,Never,Never,A few times per month,Once a year or less,Never,Never,Never,Once a year or less,Never,60+,Female,"$50,000 to $74,999",East North Central
Roman Catholic,,Less than weekly,A few times per week,Never,Every day,Every day,Never,Never,Never,Never,Never,Never,60+,Male,"$10,000 to $24,999",West South Central
Roman Catholic,,Less than weekly,Once a month or less,Once a month or less,Never,A few times per month,Once a year or less,Never,Never,Once a year or less,Never,Never,60+,Female,"$25,000 to $49,999",West South Central
Roman Catholic,,Weekly or more,Every day,A few times per week,Every day,Every day,Every day,A few times per week,A few times per week,Once a month or less,Every day,A few times per month,60+,Female,"$100,000 to $124,999",West South Central
Orthodox Christian,,Less than weekly,Once a year or less,Not applicable to my religious beliefs,Once a year or less,Once a year or less,Never,Never,Never,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,18 - 29,Female,Prefer not to answer,West South Central
None of these,"I'm spiritual, not religious",Less than weekly,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a month or less,A few times per month,Once a month or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,45 - 59,Female,"$25,000 to $49,999",Mountain
Agnostic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,18 - 29,Male,"$75,000 to $99,999",South Atlantic
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60+,Male,"$50,000 to $74,999",South Atlantic
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,18 - 29,Female,Prefer not to answer,Pacific
Orthodox Christian,,Less than weekly,Every day,Never,A few times per month,Every day,Once a year or less,A few times per week,Never,Never,Not applicable to my religious beliefs,Never,60+,Female,"$10,000 to $24,999",East North Central
Jewish,,Less than weekly,Not applicable to my religious beliefs,Never,Once a year or less,Never,Never,Once a month or less,Once a month or less,A few times per month,Never,Never,60+,Male,"$75,000 to $99,999",South Atlantic
Orthodox Christian,,Weekly or more,Every day,Not applicable to my religious beliefs,Every day,A few times per month,Once a month or less,A few times per month,Once a month or less,Once a year or less,Once a month or less,Once a year or less,18 - 29,Female,"$100,000 to $124,999",West South Central
Protestant,,Weekly or more,Never,Never,Once a year or less,A few times per month,Once a month or less,A few times per month,Once a year or less,Not applicable to my religious beliefs,Never,Never,45 - 59,Female,"$100,000 to $124,999",Pacific
Roman Catholic,,Less than weekly,Once a month or less,Once a month or less,A few times per month,A few times per month,A few times per month,Never,Never,Never,Every day,Never,60+,Male,"$50,000 to $74,999",East North Central
Atheist,,,,,,,,,,,,,18 - 29,Female,"$125,000 to $149,999",New England
None of these,baptized,Weekly or more,Never,Every day,Every day,A few times per week,Once a month or less,Never,Never,A few times per month,A few times per month,Never,45 - 59,Male,"$0 to $9,999",West South Central
Roman Catholic,,Weekly or more,A few times per month,Once a year or less,Once a year or less,A few times per month,Once a year or less,Once a month or less,Never,Once a year or less,Never,Never,60+,Female,"$150,000 to $174,999",East North Central
Protestant,,Less than weekly,Never,Never,Never,Never,Never,Once a month or less,Once a month or less,Never,Never,Never,60+,Male,Prefer not to answer,East South Central
Roman Catholic,,Less than weekly,Once a year or less,Once a year or less,Once a month or less,A few times per week,Never,Never,Never,Never,Never,Never,45 - 59,Female,"$75,000 to $99,999",Pacific
None of these,none,Never,Never,Never,Never,Never,Never,Once a year or less,Once a year or less,Never,Never,Never,45 - 59,Male,"$200,000 and up",East North Central
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45 - 59,Female,"$50,000 to $74,999",South Atlantic
None of these,christian,Never,Never,Never,Once a month or less,Never,Never,Once a year or less,Never,Never,Never,Never,30 - 44,Male,"$50,000 to $74,999",South Atlantic
None of these,Christian,Less than weekly,Once a month or less,Never,Never,Once a month or less,Once a month or less,Never,Never,Never,Never,Never,18 - 29,Male,"$50,000 to $74,999",East North Central
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,18 - 29,Female,"$50,000 to $74,999",West South Central
Protestant,,Never,Never,Never,Never,A few times per month,Once a month or less,A few times per month,Once a month or less,Once a month or less,Never,Never,60+,Male,Prefer not to answer,East North Central
None of these,Christian,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,18 - 29,Female,"$10,000 to $24,999",Middle Atlantic
None of these,"I am do not have a  ""religious"" label",Less than weekly,Never,Never,Once a year or less,Once a year or less,Never,Once a year or less,Once a year or less,Once a year or less,Never,Never,45 - 59,Female,Prefer not to answer,Pacific
Jewish,,Less than weekly,Once a year or less,Once a month or less,Every day,Never,Never,Never,Never,Once a year or less,Once a year or less,Never,45 - 59,Female,"$200,000 and up",East North Central
Roman Catholic,,Less than weekly,Never,Never,Once a year or less,Once a year or less,Once a year or less,Once a year or less,Once a year or less,Never,Never,Never,45 - 59,Male,"$100,000 to $124,999",South Atlantic
Protestant,,Weekly or more,Never,Never,Never,Once a month or less,Never,A few times per week,A few times per month,Never,Never,Never,18 - 29,Female,"$0 to $9,999",Pacific
Roman Catholic,,Less than weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,30 - 44,Male,"$0 to $9,999",
Protestant,,Weekly or more,Never,Never,Once a month or less,A few times per month,Once a year or less,A few times per month,Once a month or less,Never,Never,Never,60+,Female,"$100,000 to $124,999",Middle Atlantic
Orthodox Christian,,Never,Once a year or less,Never,Once a year or less,Every day,Never,Once a month or less,Not applicable to my religious beliefs,Never,Never,Never,18 - 29,Male,"$0 to $9,999",West South Central
Atheist,,,,,,,,,,,,,60+,Male,"$125,000 to $149,999",South Atlantic
Jewish,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Every day,Never,45 - 59,Male,"$100,000 to $124,999",Pacific
Roman Catholic,,Less than weekly,Once a year or less,Once a year or less,A few times per week,Every day,Once a month or less,A few times per month,Never,Not applicable to my religious beliefs,Every day,Never,30 - 44,Male,"$10,000 to $24,999",West South Central
Protestant,,Never,Never,Never,Once a year or less,A few times per month,Never,Once a month or less,Once a month or less,Never,Never,Never,60+,Female,Prefer not to answer,Mountain
None of these,non denominational christian,Less than weekly,Never,Never,Never,Once a year or less,Once a year or less,Once a year or less,Never,Never,Never,Never,30 - 44,Male,"$125,000 to $149,999",West South Central
Jewish,,Less than weekly,Once a year or less,Once a year or less,Once a month or less,Never,Never,Once a year or less,Once a year or less,A few times per month,Once a month or less,Once a month or less,18 - 29,Male,"$25,000 to $49,999",New England
Atheist,,,,,,,,,,,,,45 - 59,Male,"$200,000 and up",South Atlantic
Roman Catholic,,Less than weekly,Not applicable to my religious beliefs,Never,Never,Once a year or less,Once a year or less,Once a month or less,Once a year or less,Never,Not applicable to my religious beliefs,Never,60+,Male,"$25,000 to $49,999",West North Central
Protestant,,Weekly or more,Every day,Not applicable to my religious beliefs,A few times per week,A few times per month,Once a month or less,A few times per month,Once a month or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,30 - 44,Male,"$100,000 to $124,999",Pacific
None of these,Methodist,Weekly or more,Once a year or less,Never,A few times per week,A few times per week,A few times per week,Once a month or less,Once a year or less,Never,A few times per week,Once a year or less,18 - 29,Female,"$0 to $9,999",West North Central
Roman Catholic,,Never,Never,Never,Never,Once a year or less,Never,Once a year or less,Never,Never,Never,Never,60+,Female,"$200,000 and up",Middle Atlantic
Roman Catholic,,Never,Every day,Never,Never,Every day,Never,Once a year or less,Never,Never,Never,Never,60+,Female,"$50,000 to $74,999",Mountain
None of these,Do not claim any religion,Less than weekly,Once a month or less,Never,Never,Once a month or less,Once a year or less,Once a year or less,Once a month or less,Never,Never,Never,18 - 29,Female,"$50,000 to $74,999",West North Central
Orthodox Christian,,Less than weekly,Every day,Once a year or less,Every day,A few times per week,Once a year or less,Once a year or less,Never,Once a year or less,Never,Once a year or less,30 - 44,Male,"$25,000 to $49,999",West South Central
Atheist,,,,,,,,,,,,,60+,Male,"$75,000 to $99,999",Pacific
